Name,PPG,AST,BLK,TO,STL,REB,OREB,DREB,GP,GS,MPG,FGA,FG,FG%,3PA,3P,3P%,FTA,FT,FT%,2PA,2P,2P%,EFG%,Salary
Stephen Curry,23.1,6.8,0.2,3.2,1.8,4.4,0.7,3.7,625,619,34.4,16.8,8,0.477,7.8,3.4,0.436,4,3.6,0.903,9,4.6,0.513,0.579,37457154
Chris Paul,18.7,9.8,0.1,2.4,2.3,4.5,0.7,3.8,892,892,35.3,13.9,6.6,0.472,3.4,1.3,0.372,4.9,4.3,0.868,10.5,5.3,0.505,0.518,35654150
LeBron James,27.2,7.2,0.8,3.5,1.6,7.4,1.2,6.1,1143,1142,38.8,19.6,9.9,0.504,4.1,1.4,0.344,8.1,6,0.739,15.5,8.5,0.547,0.54,35654150
Russell Westbrook,23,8.2,0.3,4,1.7,6.6,1.7,4.9,748,731,34.4,18.4,8,0.435,3.5,1.1,0.311,7.2,5.9,0.814,15,6.9,0.464,0.464,35350000
Blake Griffin,21.5,4.3,0.5,2.5,0.9,9.2,2.3,6.9,529,529,35,16.1,8.2,0.508,1.1,0.4,0.324,6.9,4.7,0.683,15,7.8,0.522,0.519,31873932
Gordon Hayward,15.6,3.4,0.4,2,1,4.2,0.7,3.4,517,409,31.3,11.9,5.3,0.444,3.6,1.3,0.368,4.6,3.8,0.82,8.2,3.9,0.478,0.5,31214295
Kyle Lowry,14.4,5.9,0.3,2.2,1.3,4.2,0.8,3.4,791,555,31.1,10.9,4.6,0.425,4.7,1.7,0.37,4.3,3.4,0.803,6.2,2.9,0.466,0.504,31000000
Paul George,18.6,3.2,0.4,2.6,1.7,6.2,0.9,5.3,527,479,33.4,14.7,6.4,0.432,5.8,2.2,0.376,4.5,3.8,0.844,9,4.2,0.468,0.506,30560700
Mike Conley,14.3,5.7,0.2,2,1.5,2.9,0.4,2.5,718,688,32.5,11.6,5.1,0.441,3.4,1.3,0.377,3.3,2.7,0.814,8.2,3.8,0.468,0.497,30521115
James Harden,23,6.1,0.5,3.5,1.5,5.1,0.8,4.3,687,474,33.8,15.3,6.8,0.443,6.6,2.4,0.364,8.3,7.1,0.854,8.7,4.4,0.503,0.522,30431854
Kevin Durant,27.1,3.9,1.1,3.1,1.2,7.1,0.8,6.4,771,771,37.1,18.8,9.2,0.49,4.8,1.9,0.384,7.8,6.9,0.882,13.9,7.3,0.527,0.539,30000000
Paul Millsap,14.2,2.3,1,1.8,1.3,7.4,2.3,5.2,875,596,29.5,10.9,5.4,0.491,1.3,0.4,0.33,4.2,3.1,0.734,9.6,4.9,0.513,0.511,29730769
Al Horford,14.2,3.2,1.2,1.6,0.8,8.6,2.2,6.4,718,714,33.2,11.4,6,0.525,1.1,0.4,0.37,2.4,1.8,0.75,10.3,5.6,0.541,0.542,28928710
Damian Lillard,23.1,6.2,0.3,2.8,0.9,4.1,0.6,3.5,469,469,36.4,17.8,7.7,0.432,7.3,2.7,0.368,5.7,5.1,0.884,10.4,5,0.477,0.508,27977689
DeMar DeRozan,19.7,3.1,0.3,2,1,4.1,0.8,3.3,675,663,34.1,15.6,7,0.448,1.7,0.5,0.289,6.3,5.2,0.827,13.9,6.5,0.467,0.463,27739975
Chris Bosh,19.2,2,1,2,0.8,8.5,2.2,6.3,893,881,35.8,14.1,7,0.494,1,0.3,0.335,6.3,5,0.799,13.1,6.6,0.506,0.506,26837720
Jrue Holiday,14.9,6.2,0.4,2.7,1.5,3.7,0.8,2.9,585,512,32.8,13.2,5.9,0.45,3.3,1.2,0.36,2.4,1.9,0.788,9.9,4.7,0.479,0.494,26131111
Otto Porter,10.5,1.4,0.4,0.7,1.1,4.9,1.2,3.7,343,243,26.4,8.4,4.1,0.487,3,1.2,0.404,1.4,1.1,0.789,5.4,2.9,0.534,0.561,26011913
CJ McCollum,17.2,2.9,0.3,1.8,0.9,3,0.5,2.4,341,244,29.2,14.4,6.5,0.454,4.7,1.9,0.408,2.6,2.2,0.842,9.7,4.6,0.476,0.521,25759766
Carmelo Anthony,24.1,3,0.5,2.7,1,6.5,1.7,4.8,1054,1054,35.9,19.2,8.6,0.449,3.7,1.3,0.347,6.9,5.6,0.812,15.5,7.4,0.473,0.482,25599488
Nikola Jokic,14.9,4.4,0.7,2.1,1,9.1,2.6,6.5,228,187,27.3,10.8,5.7,0.53,2.2,0.8,0.366,3.2,2.7,0.832,8.6,4.9,0.572,0.567,25467250
Bradley Beal,18.7,3.4,0.3,2,1.1,3.7,0.8,3,406,372,33.9,15.5,6.9,0.446,5.4,2.1,0.393,3.4,2.7,0.795,10.1,4.8,0.474,0.514,25434263
Anthony Davis,23.4,1.9,2.4,1.8,1.3,10.3,2.5,7.8,410,405,34.8,17.1,8.8,0.517,1.1,0.3,0.309,6.8,5.4,0.795,16,8.5,0.531,0.527,25434263
Andre Drummond,13.6,1.1,1.5,1.7,1.3,13.4,4.7,8.7,463,413,30.4,10.6,5.8,0.545,0.1,0,0.167,4.7,2,0.421,10.6,5.8,0.547,0.545,25434263
Hassan Whiteside,13.6,0.5,2.4,1.6,0.6,11.4,3.2,8.2,271,206,26.8,9.8,5.6,0.575,0,0,1,3.8,2.4,0.627,9.8,5.6,0.575,0.575,25434263
Andrew Wiggins,19.7,2.1,0.5,2.1,1,4.1,1.3,2.8,327,327,36.2,16.2,7.2,0.447,2.9,1,0.33,5.8,4.3,0.741,13.3,6.3,0.472,0.476,25250000
Joel Embiid,22,2.8,2,3.7,0.7,9.9,2.2,7.8,94,94,28.7,15.8,7.6,0.478,3.3,1.1,0.327,7.6,5.9,0.774,12.5,6.5,0.518,0.512,25250000
Steven Adams,8.8,0.9,1,1.4,0.8,6.9,3.2,3.8,387,323,25.5,6.1,3.6,0.586,0,0,0,2.8,1.6,0.567,6.1,3.6,0.587,0.586,24157303
Giannis Antetokounmpo,17.2,3.8,1.3,2.4,1.2,7.5,1.5,6,393,328,32.7,12.4,6.3,0.506,1.5,0.4,0.284,5.6,4.2,0.746,10.9,5.8,0.537,0.524,24157303
Kevin Love,18.3,2.3,0.5,1.9,0.7,11.3,3,8.3,635,553,32.2,13.6,6.1,0.444,4.4,1.6,0.37,5.6,4.6,0.824,9.3,4.4,0.478,0.503,24119025
Marc Gasol,15.2,3.3,1.5,2.1,0.9,7.7,1.8,5.9,716,709,33.7,11.6,5.6,0.487,0.9,0.3,0.344,4.6,3.6,0.779,10.7,5.3,0.499,0.5,24119025
Chandler Parsons,13.1,2.8,0.4,1.5,0.9,4.6,0.9,3.8,410,366,31,10.8,5,0.466,4.2,1.6,0.377,2.1,1.5,0.708,6.5,3.4,0.524,0.54,24107258
Harrison Barnes,13.1,1.5,0.2,1.2,0.7,4.9,1,3.9,463,402,30.4,11,5,0.451,2.8,1,0.367,2.7,2.1,0.789,8.1,3.9,0.481,0.499,24107258
Nicolas Batum,12.1,3.8,0.6,1.9,1,5.3,1.1,4.2,692,639,31.6,9.9,4.3,0.434,4.6,1.6,0.355,2.2,1.9,0.839,5.3,2.7,0.502,0.516,24000000
Rudy Gobert,10,1.2,2.2,1.6,0.6,10,3.1,6.9,325,234,28,5.9,3.6,0.614,0,0,0,4.3,2.7,0.629,5.9,3.6,0.615,0.614,23491573
DeAndre Jordan,9.4,0.7,1.7,1.3,0.6,10.7,3.2,7.4,750,638,28.1,5.7,3.8,0.673,0,0,0.091,4.1,1.8,0.446,5.7,3.8,0.674,0.673,22900000
LaMarcus Aldridge,19.4,1.9,1.1,1.6,0.8,8.3,2.7,5.6,869,828,34.6,16.1,7.9,0.489,0.4,0.1,0.288,4.4,3.5,0.806,15.7,7.7,0.494,0.493,22347015
Serge Ibaka,12.1,0.7,2.2,1.3,0.4,7.2,2.2,5,679,568,28.9,9.8,5,0.512,1.7,0.6,0.367,1.9,1.4,0.761,8.1,4.4,0.542,0.543,21666667
Danilo Gallinari,15.3,2,0.4,1.3,0.8,4.7,0.8,3.9,481,411,31.2,11,4.6,0.419,4.9,1.8,0.367,4.9,4.3,0.865,6.1,2.8,0.461,0.501,21587579
Aaron Gordon,11.4,1.7,0.6,1.1,0.8,5.8,1.5,4.3,263,174,26.1,9.6,4.3,0.451,3,0.9,0.309,2.6,1.8,0.698,6.5,3.4,0.517,0.5,21000000
Victor Oladipo,17.4,3.8,0.5,2.6,1.7,4.5,0.6,3.9,366,309,33.4,14.4,6.4,0.445,4.2,1.5,0.353,3.8,3.1,0.8,10.2,4.9,0.483,0.496,21000000
Jimmy Butler,16.4,3.4,0.5,1.5,1.5,4.9,1.4,3.5,458,353,32.8,11.8,5.3,0.452,2.6,0.9,0.339,5.8,4.8,0.832,9.2,4.4,0.485,0.49,20445779
Ryan Anderson,12.8,0.9,0.3,1,0.5,5.4,2,3.4,622,281,26.4,10.4,4.4,0.423,5.5,2.1,0.382,2.2,1.9,0.855,4.8,2.3,0.471,0.525,20421546
Kawhi Leonard,16.3,2.3,0.7,1.4,1.8,6.2,1.3,4.9,407,380,30.4,12.1,6,0.495,3.4,1.3,0.386,3.7,3.1,0.846,8.7,4.7,0.537,0.549,20099189
Kyrie Irving,22,5.5,0.3,2.7,1.3,3.4,0.7,2.7,441,441,33.9,17.4,8,0.462,5.2,2,0.388,4.5,3.9,0.875,12.2,6,0.493,0.52,20099188
